Page_Id,Title,Root_Template,Meta_Keywords,Meta_Description,Identifier,Content_Heading,Content,Creation_Time,Update_Time,Is_Active,Sort_Order,Layout_Update_XML,Custom_Theme,Custom_Root_Template,Custom_Layout_Update_XML,Custom_Theme_From,Custom_Theme_To,Stores
26,"404 Not Found 4",one_column,,,no-route4,,"<div class=""cms-page-error style3"">
<h1>404 ERROR!</h1>
<h2>The page you're looking for cannot be found!</h2>
<a class=""button""><span>Here's a little map that might help you get back on track:</span></a>
<div>
<ul class=""nav-links"">
<li><a href=""{{store direct_url=""home""}}"">Home </a></li>
<li><a href=""{{store direct_url=""women.html""}}"">category </a></li>
<li><a href=""{{store direct_url=""about-magento-demo-store ""}}"">About us </a></li>
<li><a href=""{{store direct_url=""ves_blog""}}"">Blog </a></li>
<li><a href=""{{store direct_url=""contact""}}"">Contact us </a></li>
</ul>
</div>
</div>","2015-03-01 19:23:26","2015-03-01 19:27:53",1,0,,,,,,,0
27,"404 Not Found 5",one_column,,,no-route5,,"<div class=""cms-page-error style3 style4"">
<div class=""row"">
<div class=""col-lg-6 col-md-6 col-sm-6 col-xs-12 "">
<h1>Oops!</h1>
</div>
<div class=""col-lg-6 col-md-6 col-sm-6 col-xs-12 content-page"">
<h2>The page you're looking for cannot be found!</h2>
</div>
</div>
<a class=""button""><span>Here's a little map that might help you get back on track:</span></a>
<div>
<ul class=""nav-links"">
<li><a href=""{{store direct_url=""home""}}"">Home </a></li>
<li><a href=""{{store direct_url=""women.html""}}"">category </a></li>
<li><a href=""{{store direct_url=""about-magento-demo-store ""}}"">About us </a></li>
<li><a href=""{{store direct_url=""ves_blog""}}"">Blog </a></li>
<li><a href=""{{store direct_url=""contact""}}"">Contact us </a></li>
</ul>
</div>
</div>","2015-03-01 19:24:11","2015-03-01 19:24:11",1,0,,,,,,,0
32,"Contact page style 1",one_column,,,contact-page-style-1,,"{{widget type=""ves_blockbuilder/widget_page"" block_id=""14"" code=""contact-page-style-1""}}","2015-03-03 14:41:58","2015-08-09 22:16:57",1,0,,,,,,,0
33,"Contact page style 2",one_column,,,contact-page-style-2,,"{{widget type=""ves_blockbuilder/widget_page"" block_id=""15"" code=""contact-page-style-2""}}","2015-03-03 17:04:03","2015-08-09 22:16:43",1,0,,,,,,,0
34,"Contact page style 3",one_column,,,contact-page-style-3,,"{{widget type=""ves_blockbuilder/widget_page"" block_id=""16"" code=""contact-page-style-3""}}","2015-03-03 19:12:13","2015-08-09 22:16:07",1,0,,,,,,,0
40,"Customer Service",one_column,,,customer-service,,"<div class=""page-title"">
<h1>Customer Service</h1>
</div>
<ul class=""disc"">
<li><a href=""#answer1"">Shipping & Delivery</a></li>
<li><a href=""#answer2"">Privacy & Security</a></li>
<li><a href=""#answer3"">Returns & Replacements</a></li>
<li><a href=""#answer4"">Ordering</a></li>
<li><a href=""#answer5"">Payment, Pricing & Promotions</a></li>
<li><a href=""#answer6"">Viewing Orders</a></li>
<li><a href=""#answer7"">Updating Account Information</a></li>
</ul>
<dl><dt id=""answer1"">Shipping & Delivery</dt><dd>Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Morbi luctus. Duis lobortis. Nulla nec velit. Mauris pulvinar erat non massa. Suspendisse tortor turpis, porta nec, tempus vitae, iaculis semper, pede. Cras vel libero id lectus rhoncus porta. Suspendisse convallis felis ac enim. Vivamus tortor nisl, lobortis in, faucibus et, tempus at, dui. Nunc risus. Proin scelerisque augue. Nam ullamcorper. Phasellus id massa. Pellentesque nisl. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Nunc augue. Aenean sed justo non leo vehicula laoreet. Praesent ipsum libero, auctor ac, tempus nec, tempor nec, justo.</dd><dt id=""answer2"">Privacy & Security</dt><dd>Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Morbi luctus. Duis lobortis. Nulla nec velit. Mauris pulvinar erat non massa. Suspendisse tortor turpis, porta nec, tempus vitae, iaculis semper, pede. Cras vel libero id lectus rhoncus porta. Suspendisse convallis felis ac enim. Vivamus tortor nisl, lobortis in, faucibus et, tempus at, dui. Nunc risus. Proin scelerisque augue. Nam ullamcorper. Phasellus id massa. Pellentesque nisl. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Nunc augue. Aenean sed justo non leo vehicula laoreet. Praesent ipsum libero, auctor ac, tempus nec, tempor nec, justo.</dd><dt id=""answer3"">Returns & Replacements</dt><dd>Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Morbi luctus. Duis lobortis. Nulla nec velit. Mauris pulvinar erat non massa. Suspendisse tortor turpis, porta nec, tempus vitae, iaculis semper, pede. Cras vel libero id lectus rhoncus porta. Suspendisse convallis felis ac enim. Vivamus tortor nisl, lobortis in, faucibus et, tempus at, dui. Nunc risus. Proin scelerisque augue. Nam ullamcorper. Phasellus id massa. Pellentesque nisl. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Nunc augue. Aenean sed justo non leo vehicula laoreet. Praesent ipsum libero, auctor ac, tempus nec, tempor nec, justo.</dd><dt id=""answer4"">Ordering</dt><dd>Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Morbi luctus. Duis lobortis. Nulla nec velit. Mauris pulvinar erat non massa. Suspendisse tortor turpis, porta nec, tempus vitae, iaculis semper, pede. Cras vel libero id lectus rhoncus porta. Suspendisse convallis felis ac enim. Vivamus tortor nisl, lobortis in, faucibus et, tempus at, dui. Nunc risus. Proin scelerisque augue. Nam ullamcorper. Phasellus id massa. Pellentesque nisl. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Nunc augue. Aenean sed justo non leo vehicula laoreet. Praesent ipsum libero, auctor ac, tempus nec, tempor nec, justo.</dd><dt id=""answer5"">Payment, Pricing & Promotions</dt><dd>Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Morbi luctus. Duis lobortis. Nulla nec velit. Mauris pulvinar erat non massa. Suspendisse tortor turpis, porta nec, tempus vitae, iaculis semper, pede. Cras vel libero id lectus rhoncus porta. Suspendisse convallis felis ac enim. Vivamus tortor nisl, lobortis in, faucibus et, tempus at, dui. Nunc risus. Proin scelerisque augue. Nam ullamcorper. Phasellus id massa. Pellentesque nisl. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Nunc augue. Aenean sed justo non leo vehicula laoreet. Praesent ipsum libero, auctor ac, tempus nec, tempor nec, justo.</dd><dt id=""answer6"">Viewing Orders</dt><dd>Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Morbi luctus. Duis lobortis. Nulla nec velit. Mauris pulvinar erat non massa. Suspendisse tortor turpis, porta nec, tempus vitae, iaculis semper, pede. Cras vel libero id lectus rhoncus porta. Suspendisse convallis felis ac enim. Vivamus tortor nisl, lobortis in, faucibus et, tempus at, dui. Nunc risus. Proin scelerisque augue. Nam ullamcorper. Phasellus id massa. Pellentesque nisl. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Nunc augue. Aenean sed justo non leo vehicula laoreet. Praesent ipsum libero, auctor ac, tempus nec, tempor nec, justo.</dd><dt id=""answer7"">Updating Account Information</dt><dd>Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Morbi luctus. Duis lobortis. Nulla nec velit. Mauris pulvinar erat non massa. Suspendisse tortor turpis, porta nec, tempus vitae, iaculis semper, pede. Cras vel libero id lectus rhoncus porta. Suspendisse convallis felis ac enim. Vivamus tortor nisl, lobortis in, faucibus et, tempus at, dui. Nunc risus. Proin scelerisque augue. Nam ullamcorper. Phasellus id massa. Pellentesque nisl. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Nunc augue. Aenean sed justo non leo vehicula laoreet. Praesent ipsum libero, auctor ac, tempus nec, tempor nec, justo.</dd></dl>","2015-03-24 16:09:29","2015-03-24 16:24:32",1,0,,,,,,,0
62,"About us1",empty,,,about-us1,,"{{widget type=""ves_blockbuilder/widget_page"" block_id=""8"" code=""about-us1""}}","2015-08-09 22:17:11","2015-08-09 22:17:11",1,0,,,,,,,0
63,"About us 2",empty,,,about-us-2,,"{{widget type=""ves_blockbuilder/widget_page"" block_id=""7"" code=""about-us-2""}}","2015-08-09 22:17:25","2015-08-09 22:17:25",1,0,,,,,,,0
64,"About us 3",empty,,,about-us-3,,"{{widget type=""ves_blockbuilder/widget_page"" block_id=""6"" code=""about-us-3""}}","2015-08-09 22:17:39","2015-08-09 22:17:39",1,0,,,,,,,0
65,"About us 4",empty,,,about-us-4,,"{{widget type=""ves_blockbuilder/widget_page"" block_id=""5"" code=""about-us-4""}}","2015-08-09 22:17:52","2015-08-09 22:17:52",1,0,,,,,,,0
66,"About us 5",empty,,,about-us-5,,"{{widget type=""ves_blockbuilder/widget_page"" block_id=""4"" code=""about-us-5""}}","2015-08-09 22:18:05","2015-08-09 22:18:05",1,0,,,,,,,0
68,"Homepage 2",one_column,,,homepage2,,"<div>{{widget type=""ves_blockbuilder/widget_page"" block_id=""36"" code=""homepage2""}}</div>","2015-08-14 16:42:19","2015-08-14 16:46:56",1,0,,ves_bestmart/default,one_column,,,,0
69,"Homepage 1",one_column,,,homepage1,,"<div>{{widget type=""ves_blockbuilder/widget_page"" block_id=""37"" code=""homepage1""}}</div>","2015-08-14 16:43:26","2015-08-14 16:46:09",1,0,,ves_bestmart/default,one_column,,,,0
