"-- Please Select --", "-- Please Select --"
"-- Select an Order --", "-- Select an Order --"
"Satisfaction Score", "Satisfaction Score"
"Save", "Save"
"Save And Continue Edit", "Save And Continue Edit"
"Scope", "Scope"
"Search", "Search"
"Search Knowledge Base Topics first", "Search Knowledge Base Topics first"
"See all results", "See all results"
"Send All Outgoing emails to Email", "Send All Outgoing emails to Email"
"Send Remind", "Send Remind"
"Send Survey Request via Email", "Send Survey Request via Email"
"Send To Email", "Send To Email"
"Send email to all department users", "Send email to all department users"
"Send email to customer", "Send email to customer"
"Send email to other email addresses", "Send email to other email addresses"
"Send email to ticket owner", "Send email to ticket owner"
"Sender Email", "Sender Email"
"Set Department", "Set Department"
"Set Owner", "Set Owner"
"Set Owner To", "Set Owner To"
"Set Priority", "Set Priority"
"Set Priority To", "Set Priority To"
"Set Status", "Set Status"
"Set Status To", "Set Status To"
"Settings", "Settings"
"Show Columns in Ticket Grid", "Show Columns in Ticket Grid"
"Show Help Desk section in Customer Account", "Show Help Desk section in Customer Account"
"Show Ticket ID in the email title", "Show Ticket ID in the email title"
"Show in contact us form", "Show in contact us form"
"Show in create ticket form", "Show in create ticket form"
"Show value in customer account", "Show value in customer account"
"Sign staff replies", "Sign staff replies"
"Signature", "Signature"
"Silver", "Silver"
"Solved Tickets %", "Solved Tickets %"
"Solved Tickets Number", "Solved Tickets Number"
"Sort Order", "Sort Order"
"Spam", "Spam"
"Spam Filter Patterns", "Spam Filter Patterns"
"Spam Folder", "Spam Folder"
"Spam Patterns", "Spam Patterns"
"Staff", "Staff"
"Status", "Status"
"Status (before change)", "Status (before change)"
"Status for new tickets", "Status for new tickets"
"Statuses", "Statuses"
"Stop Further Rules Processing", "Stop Further Rules Processing"
"Store", "Store"
"Store View", "Store View"
"Subject", "Subject"
"Subject Placeholder", "Subject Placeholder"
"Subject Title", "Subject Title"
"Submit", "Submit"
"Submit Message", "Submit Message"
"Submit Ticket", "Submit Ticket"
"Success", "Success"
"Tab Color", "Tab Color"
"Tab Position", "Tab Position"
"Tab Title", "Tab Title"
"Tags", "Tags"
"Teal", "Teal"
"Telephone", "Telephone"
"Template", "Template"
"Template of New Message Email for Customer", "Template of New Message Email for Customer"
"Template of New Message Email for Staff", "Template of New Message Email for Staff"
"Template of New Ticket Email for Customer", "Template of New Ticket Email for Customer"
"Template of New Ticket Email for Staff", "Template of New Ticket Email for Staff"
"Template of Rule Notification", "Template of Rule Notification"
"Template of Ticket Reminder", "Template of Ticket Reminder"
"Text", "Text"
"Thank You", "Thank You"
"Thank you for participating in our survey!", "Thank you for participating in our survey!"
"Thank you for your feedback!", "Thank you for your feedback!"
"Ticket History", "Ticket History"
"Ticket Information", "Ticket Information"
"Ticket Owner", "Ticket Owner"
"Ticket assigned to staff", "Ticket assigned to staff"
"Ticket was changed", "Ticket was changed"
"Ticket was successfuly closed", "Ticket was successfuly closed"
"Tickets", "Tickets"
"Tickets Archive", "Tickets Archive"
"Tickets Report", "Tickets Report"
"Title", "Title"
"Total Responses Number", "Total Responses Number"
"Total Tickets Number", "Total Tickets Number"
"Type", "Type"
"Unassigned", "Unassigned"
"Unfortunately, I wasn't happy with it at all.", "Unfortunately, I wasn't happy with it at all."
"Update Ticket", "Update Ticket"
"Updated At", "Updated At"
"User", "User"
"User (before change)", "User (before change)"
"User Name", "User Name"
"Using Department Name (e.g. Sales)", "Using Department Name (e.g. Sales)"
"Using Staff Name (e.g. John Doe)", "Using Staff Name (e.g. John Doe)"
"View Ticket", "View Ticket"
"We found the following topics that might be helpful:", "We found the following topics that might be helpful:"
"What is your question?", "What is your question?"
"Yellow", "Yellow"
"Yes", "Yes"
"You don't have open tickets", "You don't have open tickets"
"Your Email", "Your Email"
"Your message was successfuly posted", "Your message was successfuly posted"
"Your ticket was successfuly posted", "Your ticket was successfuly posted"
"comma-separated list", "comma-separated list"
"open page", "open page"
"view", "view"
